Name, Calories, Protein_gm, Fiber_gm, Ingredients, Veg/Non-Veg, Steps,Photo
Paneer Butter Masala,350,14,3, Paneer Butter Tomato Spices, Veg, Cook paneer in rich butter tomato gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7obO58mwR6VU7QAxk2wPPGAHWk0oQNNU1A&s
Chole Bhature,500,15,8, Chickpeas Flour Spices, Veg, Prepare spicy chickpeas with fried bread,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkM_zuSX3rmE2RdtnhPOqBE8idO_aZnt_fSQ&s
Palak Paneer,350,15,4, Spinach Paneer Spices, Veg, Cook spinach with paneer in spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNWssGcGejWD3GjOUlWJavoQgJvPwYrgcixA&s
Butter Chicken,600,30,5, Chicken Butter Cream Tomato Spices, Non-Veg, Cook chicken in butter creamy tomato gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN2jh7DvoLtDyDF6cigDHFrSMs5zMpaXRelA&s
Vegetable Biryani,400,10,5, Basmati rice Mixed vegetables Spices, Veg, Layer rice with mixed vegetables and spices,https://i.ytimg.com/vi/Do7ZdUodDdw/maxresdefault.jpg
Chicken Curry,450,28,4, Chicken Onion Tomato Spices, Non-Veg, Cook chicken with onion tomato and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSixzD4VzaxSG2VMrAqOZ3cec6xSYcSf08qyw&s
Dal Makhani,350,15,7, Black lentils Cream Butter Spices, Veg, Cook black lentils with butter and spices,https://www.funfoodfrolic.com/wp-content/uploads/2023/04/Dal-Makhani-Blog.jpg
Aloo Gobi,250,6,5, Potatoes Cauliflower Spices, Veg, Cook potatoes with cauliflower and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV_QC2XSpMKHLYSLOTWLWnG_AiSLIb6dJ_dQ&s
Fish Curry,400,30,2, Fish Coconut Milk Spices, Non-Veg, Cook fish in coconut milk with spices,https://i.ytimg.com/vi/qstxR_Jh4aY/maxresdefault.jpg
Paneer Tikka,300,20,5, Paneer Yogurt Spices, Veg, Marinate paneer in yogurt and spices then grill,https://spicecravings.com/wp-content/uploads/2020/10/Paneer-Tikka-Featured-1.jpg
Biryani,500,20,5, Basmati Rice Meat Spices, Non-Veg, Cook meat with basmati rice and spices,https://www.shutterstock.com/image-photo/chicken-biryani-quick-tasty-dum-600nw-2468105649.jpg
Methi Paratha,300,8,5, Whole Wheat Flour Fenugreek Spices, Veg, Make paratha with fenugreek filling,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8XJOWFPYb8LPIsnUK7E23TzM8KTmgkSrCkQ&s
Rogan Josh,500,25,4, Lamb Spices, Non-Veg, Cook lamb with spices until tender,https://static.toiimg.com/thumb/53192600.cms?imgsize=418831&width=800&height=800
Tandoori Chicken,600,30,4, Chicken Yogurt Spices, Non-Veg, Marinate chicken in yogurt and spices then cook in tandoor,https://media.istockphoto.com/id/1396604313/photo/roasted-whole-chicken-legs-with-condiment-directly-above-photo.jpg?s=612x612&w=0&k=20&c=JDs72E-fX5SdcBQREta58T82W8zO_rFiKC7d1WwEEUE=
Vegetable Samosa,250,8,5, Potatoes Peas Spices, Veg, Stuff samosas with spiced potato and peas filling,https://t4.ftcdn.net/jpg/07/37/50/95/360_F_737509581_oKmLaBjYOR2t0xTga8woVzC2aM3hJXIV.jpg
Pav Bhaji,400,12,5, Mixed Vegetables Pav Spices, Veg, Mash mixed vegetables and serve with bread,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxS9_36jgShvcXRGcfZEkbi10Kkxoz8hEbyw&s
Rajma,300,10,5, Kidney Beans Spices, Veg, Cook kidney beans in spiced gravy,https://myfoodstory.com/wp-content/uploads/2021/06/Rajma-Masala-4.jpg
Dhokla,200,6,4, Chickpea Flour Yogurt Spices, Veg, Steam chickpea flour batter and serve,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeZtCo6ri9X2Bf7RtR3IXn4iRtBMpexqUEXg&s
Mutton Korma,500,25,4, Mutton Cream Spices, Non-Veg, Cook mutton in creamy spiced gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTBsY-xCXuekOebN1r2QWouO04ijE0azctxg&s
Khichdi,300,12,5, Rice Lentils Spices, Veg, Cook rice and lentils with spices,https://holycowvegan.net/wp-content/uploads/2014/06/masala-khichdi-featured-image.jpg
Dal Tadka,300,12,5, Yellow Lentils Ghee Spices, Veg, Cook lentils with ghee and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD4dKcPnFlczSSGURgI9-sPaHCHNteNbYAyA&s
Pani Puri,200,5,4, Semolina Water Spices, Veg, Fill puris with spicy water and serve,https://www.shutterstock.com/image-photo/panipuri-fuchka-fhuchka-gupchup-golgappa-260nw-2230877431.jpg
Hyderabadi Biryani,600,25,4, Basmati Rice Chicken Spices, Non-Veg, Layer chicken and rice with spices,"https://static.wixstatic.com/media/91e241_475faa4fa56341f3878699dde5ab4904~mv2.jpg/v1/fill/w_864,h_576,al_c,lg_1,q_85/91e241_475faa4fa56341f3878699dde5ab4904~mv2.jpg"
Aloo Paratha,350,10,5, Whole Wheat Flour Potatoes Spices, Veg, Stuff paratha with spiced potatoes,https://static.toiimg.com/thumb/53109843.cms?width=1200&height=900
Pesarattu,250,8,4, Green Gram Rice Spices, Veg, Make dosa with green gram batter,https://www.shutterstock.com/image-photo/pesarattu-dosa-moong-dosai-indian-260nw-2246279143.jpg
Prawn Curry,450,25,2, Prawns Coconut Milk Spices, Non-Veg, Cook prawns in coconut milk and spices,https://thumbs.dreamstime.com/b/prawn-curry-indian-tomato-gravy-39065975.jpg
Vegetable Korma,400,10,4, Mixed Vegetables Cream Spices, Veg, Cook mixed vegetables in creamy gravy,https://www.cookclickndevour.com/wp-content/uploads/2021/01/vegetable-korma-recipe-1.jpg
Egg Curry,400,25,4, Eggs Tomato Spices, Non-Veg, Cook eggs in spiced tomato gravy,https://www.sharmispassions.com/wp-content/uploads/2015/06/EggCurry5.jpg
Stuffed Capsicum,300,10,5, Capsicum Rice Spices, Veg, Stuff capsicum with spiced rice filling,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSi9TrS4_Na4AL859cSYi0fAdgEEfGMLfIUw&s
Bisi Bele Bath,400,12,5, Rice Lentils Vegetables Spices, Veg, Cook rice and lentils with vegetables and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/07/bisi-bele-bath-recipe.jpg
Chettinad Chicken,500,30,5, Chicken Spices Coconut, Non-Veg, Cook chicken with spices and coconut,https://swatisani.net/kitchen/wp-content/uploads/2015/10/IMG_9350.jpg
Veg Fried Rice,300,10,4, Rice Mixed Vegetables Spices, Veg, Stir-fry rice with mixed vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4qvg4T8s5bjfMEe1IsBoYBlgqhgQCVg0LHg&s
Sev Puri,200,5,4, Sev Puri Spices, Veg, Assemble sev puri with toppings,https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/sev-puri-2.jpg
Vegetable Raita,150,4,2, Yogurt Mixed Vegetables Spices, Veg, Mix yogurt with diced vegetables and serve,https://www.cookclickndevour.com/wp-content/uploads/2019/07/vegetable-raita-recipe.jpg
Mutton Biryani,600,30,5, Basmati Rice Mutton Spices, Non-Veg, Layer mutton and rice with spices,https://i.ytimg.com/vi/s4YsKuoYTe8/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA8DNcG2opFjrju1AlULhM7SOQLfA
Paneer Bhurji,250,20,5, Paneer Spices, Veg, Cook crumbled paneer with spices,https://www.foodie-trail.com/wp-content/uploads/2021/08/PHOTO-2021-07-19-09-01-21.jpg
Sambar,200,5,5, Lentils Vegetables Spices, Veg, Cook lentils with mixed vegetables and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/05/sambar.jpg
Kadai Chicken,500,28,4, Chicken Bell Peppers Spices, Non-Veg, Cook chicken with bell peppers and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSISVhHxJ5fLiQOdnO9SCXyU3qKIIWIFwOxeA&s
Malai Kofta,400,15,5, Paneer Potatoes Cream Spices, Veg, Cook kofta in creamy gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsT8TUD-NzEQeESGXCTvbEFMbcMp-heDW-Kw&s
Vegetable Pulao,400,10,5, Basmati Rice Mixed Vegetables Spices, Veg, Cook rice with mixed vegetables and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/04/veg-pulao-recipe.jpg
Paneer Tikka Masala,400,20,5, Paneer Spices Cream, Veg, Cook paneer in spiced gravy,https://t4.ftcdn.net/jpg/06/50/67/49/360_F_650674921_zSKBnxMSCAg4eT40PG22ogu5tV9tuLUf.jpg
Fish Fry,300,30,0, Fish Spices, Non-Veg, Marinate fish with spices and fry,https://media.istockphoto.com/id/620402520/photo/fish-fry-served-on-banana-leaf.jpg?s=612x612&w=0&k=20&c=_GUzZuYv_nzvM7Sw1a6NLpkrngUN-E2V0iHhyjwYN2M=
Methi Chicken,450,30,4, Chicken Fenugreek Spices, Non-Veg, Cook chicken with fenugreek and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_MUTpEuNtnQjti4P0bWyER-4r-4CgyHOosg&s
Vegetable Chaat,300,10,4, Mixed Vegetables Spices, Veg, Mix vegetables with spices and serve,https://www.richinserts.com/assets/media/blog_40_28.jpg
Vegetable Khichdi,300,10,4, Rice Lentils Mixed Vegetables, Veg, Cook rice and lentils with mixed vegetables,https://i.ytimg.com/vi/Hmogo3lhZP4/sddefault.jpg
Kothimbir Vadi,250,8,5, Gram Flour Coriander Spices, Veg, Steam gram flour and coriander mixture,https://shwetainthekitchen.com/wp-content/uploads/2020/04/IMG_8272-scaled.jpg
Gobi Manchurian,400,12,5, Cauliflower Spices, Veg, Fry cauliflower and toss in spicy sauce,https://media.istockphoto.com/id/1334115358/photo/cabbage-manchurian.jpg?s=612x612&w=0&k=20&c=lZvW1lWr03mQszDbx4v59IAnxWacQ_Ti275hjj18hcE=
Bhindi Masala,250,6,4, Okra Spices, Veg, Cook okra with spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmjMIalMhlJbhR4mm6S_G_F4NVDl3M9eJBiQ&s
Baked Salmon,500,30,4, Salmon Fish Spices, Non-Veg, Bake salmon with spices,https://media.istockphoto.com/id/1214416414/photo/barbecued-salmon-fried-potatoes-and-vegetables-on-wooden-background.jpg?s=612x612&w=0&k=20&c=Y8RYbZFcvec-FXMMuoU-qkprC3TUFNiw3Ysoe8Drn6g=
Dal Palak,300,12,5, Lentils Spinach Spices, Veg, Cook lentils with spinach and spices,https://www.spiceupthecurry.com/wp-content/uploads/2022/05/moong-dal-palak-2.jpg
Vegetable Kathi Roll,300,8,5, Roti Mixed Vegetables Spices, Veg, Fill roti with spiced vegetables and roll,https://www.indianhealthyrecipes.com/wp-content/uploads/2024/02/paneer-kathi-roll-recipe.jpg
Bhuna Gosht,500,30,4, Mutton Spices, Non-Veg, Cook mutton in spiced gravy,https://sinfullyspicy.com/wp-content/uploads/2023/07/1200-by-1200-images-6.jpg
Vegetable Pani Puri,300,8,6, Semolina Spices, Veg, Fill puris with spiced vegetable water,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfz-wKLJ23HTQeKGrNewuf7JQTfCzCAeAI0w&s
Vegetable Dosa,300,8,5, Rice Flour Mixed Vegetables Spices, Veg, Prepare dosa with spiced vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp1hmpSKUM6DaNgB6_UFNeyUHN7dc1gdLfvQ&s
Dum Aloo,300,10,5, Potatoes Spices, Veg, Cook potatoes in spiced gravy,https://sinfullyspicy.com/wp-content/uploads/2024/01/1200-by-1200-images-3.jpg
Vegetable Soup,200,5,4, Mixed Vegetables Spices, Veg, Boil mixed vegetables in water and serve,https://www.indianhealthyrecipes.com/wp-content/uploads/2019/06/vegetable-soup.jpg
Egg Biryani,500,30,5, Basmati Rice Eggs Spices, Non-Veg, Layer eggs with rice and spices,https://ministryofcurry.com/wp-content/uploads/2019/11/egg-biryani-3-1.jpg
Mutton Seekh Kebab,400,25,3, Mutton Spices, Non-Veg, Shape minced mutton and grill,https://media.istockphoto.com/id/501266025/photo/seekh-kabab-5.jpg?s=612x612&w=0&k=20&c=D6JXEtB4OLF9A91nAfDYLlh507LlbmP_M9PZBoJqD9Q=
Paneer Pakoda,300,15,5, Paneer Gram Flour Spices, Veg, Dip paneer in batter and fry,https://www.indianhealthyrecipes.com/wp-content/uploads/2016/06/paneer-pakoda.jpg
Vegetable Bonda,250,8,5, Potatoes Spices, Veg, Shape and fry spiced potato mixture,https://i.ytimg.com/vi/TwXTtZs6DGA/maxresdefault.jpg
Lentil Salad,200,10,5, Lentils Vegetables Spices, Veg, Mix lentils with diced vegetables and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQ5ebzgXqWvkntZwKC0CNn2mDjd5RANHWOXQ&s
Vegetable Thali,600,15,6, Rice Dal Vegetable Curry Raita, Veg, Serve rice dal curry and raita together,https://imgmedia.lbb.in/media/2023/05/645a4857fe6a191f3785cdc4_1683638359224.jpg
Chana Masala,300,10,5, Chickpeas Spices, Veg, Cook chickpeas in spiced gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/chana-masala-recipe.jpg
Vegetable Dumplings,250,10,4, Flour Mixed Vegetables Spices, Veg, Steam dumplings filled with vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScFeCQh6AyAJbGRqd8dqzFAdC1J4856DqF6g&s
Bhel Puri,250,5,3, Puffed Rice Vegetables Chutney, Veg, Mix puffed rice with vegetables and chutney,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZvMeuOIbE1yU3idYmqM5N8XpL-qFNWj6UGA&s
Aloo Tikki,300,8,4, Potatoes Spices, Veg, Fry spiced potato patties until golden,https://www.indianhealthyrecipes.com/wp-content/uploads/2017/05/aloo-tikki-recipe-1.jpg
Vegetable Pakora,350,10,5, Mixed Vegetables Gram Flour Spices, Veg, Deep fry battered vegetables until crispy,https://khinskitchen.com/wp-content/uploads/2024/04/vegetable-pakora-04.jpg
Paneer Lababdar,400,20,5, Paneer Tomato Spices, Veg, Cook paneer in spiced tomato gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2020/10/paneer-lababdar-recipe-500x500.jpg
Tandoori Roti,200,6,4, Whole Wheat Flour, Veg, Roll dough into roti and cook in tandoor,https://www.indianhealthyrecipes.com/wp-content/uploads/2023/09/tandoori-roti-recipe.jpg
Kadhi Pakora,350,10,5, Gram Flour Yogurt Spices, Veg, Cook gram flour dumplings in yogurt gravy,https://www.vegrecipesofindia.com/wp-content/uploads/2012/01/punjabi-kadhi-pakora-recipe-1.jpg
Chicken Biryani,500,25,5, Basmati Rice Chicken Spices, Non-Veg, Layer chicken with rice and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/12/chicken-biryani.jpg
Puri,300,10,5, Whole Wheat Flour, Veg, Fry rolled dough until puffed and golden,https://www.indianhealthyrecipes.com/wp-content/uploads/2020/12/poori-puri-recipe.jpg
Samosa Chaat,300,10,5, Samosas Chickpeas Chutney, Veg, Crumble samosas and mix with chickpeas and chutney,https://masalaandchai.com/wp-content/uploads/2021/10/Samosa-Chaat-with-Chai.jpg
Ras Malai,250,7,4, Paneer Milk Sugar, Veg, Soak paneer in sweetened milk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXa6O9xpr1i3EEgRPvYyLU7CGBT7wnx5hl8A&s
Kothimbir Bhaji,200,6,5, Coriander Flour Spices, Veg, Cook coriander leaves in spiced batter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnAeUcc2EYEdTygQ5vOCzIbQUNRJG6otHQXA&s
Vegetable Ramen,350,12,5, Noodles Mixed Vegetables Spices, Veg, Cook noodles with spiced vegetables,https://peasandcrayons.com/wp-content/uploads/2021/05/veggie-ramen-soup-recipe-4.jpg
Dumplings,250,8,5, Flour Mixed Vegetables Spices, Veg, Fill dumplings with spiced vegetables and steam,"https://hips.hearstapps.com/hmg-prod/images/delish-202210-soupdumplings-182-1665605386.jpg?crop=0.888888888888889xw:1xh;center,top&resize=1200:*"
Biryani Pulao,450,15,5, Rice Mixed Vegetables Spices, Veg, Cook rice with mixed vegetables and spices,https://i.ytimg.com/vi/Do7ZdUodDdw/hq720.jpg?sqp=-oaymwEXCK4FEIIDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBPsfuVk99MJWOHUAsII7oqo525jA
Paneer Bhurji,300,20,5, Paneer Onion Spices, Veg, Scramble paneer with onions and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGNFgJoOofgCOWN4h_2Qb8WPeOYWauZ9vQbg&s
Methi Thepla,250,8,4, Whole Wheat Flour Fenugreek Spices, Veg, Cook spiced fenugreek flatbread,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBaXfuYWLveMJRuWflDM2eXqtsmXvQiR67wA&s
Tomato Rice,400,12,5, Rice Tomatoes Spices, Veg, Cook rice with tomatoes and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/tomato-rice-recipe.jpg
Cabbage Sabzi,200,5,3, Cabbage Spices, Veg, Cook cabbage with spices until tender,https://cdn.tarladalal.com/members/9306/procstepimgs/step-18_cabbage-sabzi-18-201140.jpg
Paneer Jalfrezi,400,20,5, Paneer Mixed Peppers Spices, Veg, Stir-fry paneer with mixed peppers and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/05/paneer-jalfrezi-recipe.jpg
Khoya Methi,300,10,5, Khoya Fenugreek Spices, Veg, Cook khoya with fenugreek and spices,https://img-global.cpcdn.com/recipes/a42bad2dc1eefb6a/680x482cq70/khoya-methi-matar-recipe-main-photo.jpg
Methi Chutney,150,4,2, Fenugreek Tamarind Spices, Veg, Blend fenugreek with tamarind and spices,https://manjulaskitchen.com/wp-content/uploads/methi_fenugreek_chutney.jpg
Tomato Chutney,100,2,1, Tomatoes Spices, Veg, Cook tomatoes with spices until soft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYiIJj7IYg7Y9YbdQSsyuqC2pXLy2nhG6RRA&s
Vegetable Uthappam,300,8,5, Rice Flour Mixed Vegetables Spices, Veg, Cook thick dosa with mixed vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrCKYPeqTOjGZcPiehGv0y4X2RPnvF6knRA&s
Prawn Biryani,600,30,5, Basmati Rice Prawns Spices, Non-Veg, Layer prawns with rice and spices,https://www.cubesnjuliennes.com/wp-content/uploads/2020/12/Prawn-Biryani-Recipe.jpg
Vegetable Masala Dosa,400,12,5, Rice Flour Potatoes Spices, Veg, Fill dosa with spiced potato mixture,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiWPMGiJK4ZEXAwLEy5LdIRxrbmkCnEkCXvw&s
Stuffed Paratha,350,10,5, Whole Wheat Flour Potatoes Spices, Veg, Stuff paratha with spiced potatoes and fry,https://www.indianhealthyrecipes.com/wp-content/uploads/2020/08/aloo-paratha-recipe-500x500.jpg
Methi Malai Murg,500,30,4, Chicken Fenugreek Cream Spices, Non-Veg, Cook chicken in creamy fenugreek sauce,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpoWEvH6ln7ZY5wum7Td7LEGpD234j3sQe4g&s
Vegetable Nihari,500,30,5, Mixed Vegetables Spices, Veg, Slow-cook vegetables in rich gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQutS6ANocwKcfDmIIUHg3NDISQdMIOy7OLdg&s
Khichuri,300,10,5, Rice Lentils Spices, Veg, Cook rice and lentils with spices,https://i0.wp.com/spicechronicles.com/wp-content/uploads/2012/11/Khi_1.jpg?resize=640%2C640&ssl=1
Kheer,300,7,5, Rice Milk Sugar, Veg, Cook rice in sweetened milk until soft,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/06/kheer-recipe.jpg
Mutton Pulao,600,25,5, Basmati Rice Mutton Spices, Non-Veg, Cook mutton with rice and spices,https://untoldrecipesbynosheen.com/wp-content/uploads/2023/08/mutton-pulao-featured.jpg
Vegetable Korma,400,10,5, Mixed Vegetables Cream Spices, Veg, Cook mixed vegetables in creamy gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/03/veg-kurma-vegetable-korma-recipe-500x375.jpg
Masala Chai,100,3,0, Tea Spices Milk, Veg, Boil tea with spices and milk,https://budleaf.com/wp-content/uploads/2023/04/How-to-make-masala-chai-1568x1039.jpeg
Beetroot Raita,150,4,2, Yogurt Beetroot Spices, Veg, Mix yogurt with grated beetroot and spices,https://mygoodfoodworld.com/wp-content/uploads/2023/03/beet-raita.jpg
Bhindi Do Pyaza,250,6,4, Okra Onions Spices, Veg, Cook okra with onions and spices,https://foodsandflavorsbyshilpi.com/wp-content/uploads/2014/09/FB-Thumnails-website-old-96.jpg
Vegetable Curry,400,10,5, Mixed Vegetables Spices, Veg, Cook mixed vegetables in spiced gravy,https://www.recipetineats.com/tachyon/2017/07/Vegetable-Curry.jpg?resize=500%2C500
Sweet Lassi,200,5,2, Yogurt Sugar, Veg, Blend yogurt with sugar until smooth,https://www.indianveggiedelight.com/wp-content/uploads/2023/01/sweet-lassi-recipe-featured.jpg
Rajma Chawal,400,12,5, Kidney Beans Rice Spices, Veg, Serve kidney beans with rice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrY-YDbNH_JLFnMOh26A1l7WKFgORHz6C3uQ&s
Vegetable Stir Fry,350,10,5, Mixed Vegetables Spices, Veg, Stir-fry vegetables in spices,https://www.dinneratthezoo.com/wp-content/uploads/2019/02/vegetable-stir-fry-3.jpg
Coconut Rice,400,12,5, Rice Coconut Spices, Veg, Cook rice with coconut and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/05/coconut-rice-recipe.jpg
Vegetable Sandwich,250,8,5, Bread Mixed Vegetables Spices, Veg, Fill bread with spiced vegetables,https://shwetainthekitchen.com/wp-content/uploads/2020/08/IMG_9973.jpg
Egg Bhurji,300,25,5, Eggs Onion Spices, Non-Veg, Scramble eggs with onions and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgpDPizX6nGLyzXnHWHrHm6J38ac1u0mGgYw&s
Palak Chole,350,15,5, Spinach Chickpeas Spices, Veg, Cook chickpeas with spinach and spices,https://www.whiskaffair.com/wp-content/uploads/2014/08/Palak-Chole-1.jpg
Paneer Kofta,400,20,5, Paneer Spices, Veg, Deep fry paneer balls and cook in gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/06/malai-kofta-recipe.jpg
Khichdi,300,12,5, Rice Lentils Spices, Veg, Cook rice and lentils with spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2018/07/khichdi-recipe.jpg
Vegetable Kebab,300,10,5, Mixed Vegetables Spices, Veg, Shape spiced vegetable mixture into kebabs and grill,https://www.allrecipes.com/thmb/KBVMWciO-GJsEKnVOcUFvBDrOWk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229166-grilled-veggie-skewers-DDMFS-013-4x3-38df5f3275934280a930c09d660a332c.jpg
Daal Baati,400,10,5, Wheat Flour Lentils Spices, Veg, Serve baked bread with lentil curry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsDudpDlsGkfzS1TjptYN1ZH3wgidCSx-pxQ&s
